phenocode	phenostring	category	pval	beta	maf	maf_case	maf_control	n_case	n_control
K11_MN_PROGN_INCLAVO	Mandibular prognathia	Diseases of the digestive system (K11_)	0.777553	0.0361431	0.114848	0.118521	0.114845	303	342196
K11_OESULC	Ulcer of oesophagus	Diseases of the digestive system (K11_)	0.778158	-0.0147713	0.114974	0.112079	0.114992	1840	292256
O15_ABORT_UNS	Unspecified abortion	Pregnancy, childbirth and the puerperium (O15_)	0.778515	0.017504	0.114409	0.115975	0.114394	1302	135962
H7_CONVERGINSUFF	Convergence insufficiency and excess	Diseases of the eye and adnexa (H7_)	0.778811	0.0365189	0.114912	0.114119	0.114913	304	328688
K11_HYPOPLASIA_ENAMEL_PRENATAL_INCLAVO	Hypoplasia of dental enamel, prenatal	Diseases of the digestive system (K11_)	0.779353	0.069871	0.114848	0.123457	0.114846	81	342418
D3_IMMUDEFANTIBODYNAS	Other and unspecified immunodeficiencies with predominantly antibody defects	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.779686	0.0356212	0.114686	0.119388	0.114682	303	337121
F5_OTHRET	Other and unspecified mental retardation	Mental and behavioural disorders (F5_)	0.780017	0.0318043	0.114861	0.117303	0.114859	388	341375
O15_PUERP_INFECT_OTHER	Other puerperal infections	Pregnancy, childbirth and the puerperium (O15_)	0.78066	0.0140097	0.114524	0.116156	0.114506	1994	183235
L12_ACANTHNIGRICANS	Acanthosis nigricans	Diseases of the skin and subcutaneous tissue (L12_)	0.780883	0.0682012	0.114766	0.120482	0.114764	83	321903
H7_OCUMUSCLE	Disorders of ocular muscles, binocular movement, accommodation and refraction	Diseases of the eye and adnexa (H7_)	0.780991	-0.00540356	0.114848	0.11332	0.114913	13811	328688
CD2_BENIGN_TONSIL	Benign neoplasm: Tonsil	Neoplasms from hospital discharges (CD2_)	0.781615	-0.0388998	0.114848	0.111166	0.114851	252	342247
N14_FEMGENPAIN	Pain and other conditions associated with female genital organs and menstrual cycle	Diseases of the genitourinary system (N14_)	0.78197	0.00822686	0.114924	0.116103	0.114854	5959	100663
M13_ENTESOPATHYOTH	Other enthesopathies	Diseases of the musculoskeletal system and connective tissue (M13_)	0.781977	-0.00655576	0.11486	0.114106	0.114888	9241	253122
M13_DISCITIS	Discitis, unspecified	Diseases of the musculoskeletal system and connective tissue (M13_)	0.782325	0.0327614	0.115034	0.118549	0.115029	352	248831
DEATH	Any death	Common endpoint	0.783422	-0.00378353	0.114848	0.114105	0.11494	37589	304910
H7_RETROBULBNEURINOTH	Retrobulbar neuritis in diseases classified elsewhere	Diseases of the eye and adnexa (H7_)	0.783634	0.0655411	0.114803	0.123529	0.114801	85	340155
DRUGADVERS_OSTEOPO	Drug-induced osteoporosis	Diseases of the musculoskeletal system and connective tissue (M13_)	0.784462	-0.0390259	0.114848	0.110595	0.114851	243	342256
C3_MELANOMA_EXALLC	Malignant melanoma	Neoplasms, from cancer register (ICD-O-3)	0.784758	-0.0104028	0.115569	0.116454	0.115557	3449	259403
T1D_WIDE2	Type 1 diabetes, wide definition, subgroup 2	Diabetes endpoints	0.786133	-0.0276874	0.114336	0.111278	0.114341	492	279799
H7_RETINOCHISISCYST	Retinoschisis and retinal cysts	Diseases of the eye and adnexa (H7_)	0.786702	-0.0266094	0.114569	0.110981	0.114575	518	314042
F5_SCHIZPER	Schizoid personality disorder	Mental and behavioural disorders (F5_)	0.786883	0.0271385	0.114901	0.113779	0.114903	517	332850
L12_OTHERMELANIN	Other melanin hyperpigmentation	Diseases of the skin and subcutaneous tissue (L12_)	0.787697	0.0284125	0.114767	0.11682	0.114764	448	321903
AB1_SCABIES	Scabies	Certain infectious and parasitic diseases (AB1_)	0.788069	-0.0192361	0.114844	0.112684	0.11485	973	341156
MACULA_NAS	Degenerative macular diseases	Diseases of the eye and adnexa (H7_)	0.788493	0.0109865	0.114582	0.115269	0.114575	3040	314042
M13_CALCIFICTEND	Calcific tendinitis of shoulder	Diseases of the musculoskeletal system and connective tissue (M13_)	0.7886	0.0157881	0.114888	0.114867	0.114888	1462	253122
L12_PSORI_VULG	Psoriasis vulgaris	Diseases of the skin and subcutaneous tissue (L12_)	0.789542	-0.00844395	0.114804	0.114244	0.114812	5018	330975
L12_ACNE_NAS	Other  and unspecified acne	Diseases of the skin and subcutaneous tissue (L12_)	0.790109	0.0349835	0.114746	0.120852	0.114741	282	328747
RHEUMAT_LUNG	Rheumatoid lung disease	Rheuma endpoints	0.790145	-0.0663253	0.114398	0.10625	0.1144	80	310937
D3_HEREDHAEMOLYTICANAEMIAOTHER	Other hereditary haemolytic anaemias	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.790965	0.0535189	0.114851	0.114683	0.114851	127	341747
FG_OTHHEART	Other heart diseases	Cardiometabolic endpoints	0.791413	0.00279807	0.114475	0.11433	0.11456	98279	168000
EPISEIZALCO	Epileptic seizures related to alcohol	Alcohol related diseases	0.791764	-0.0486632	0.114848	0.107277	0.114852	149	342350
L12_DERM_NUMMULAR	Nummular dermatitis	Diseases of the skin and subcutaneous tissue (L12_)	0.79181	-0.0136507	0.11519	0.113344	0.115201	1868	306909
K11_MESIAL_BITE	Mesial bite	Diseases of the digestive system (K11_)	0.792693	0.0418388	0.114848	0.120073	0.114846	194	342305
POLYCYTVERA	Polycythaemia vera	Other, not yet classified endpoints (same as #MISC)	0.794393	-0.01998	0.11555	0.114153	0.115554	843	259059
I9_MI_STRICT	Myocardial infarction, strict	Diseases of the circulatory system (I9_)	0.794591	-0.00461829	0.114849	0.114123	0.114904	21609	285621
I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	Diseases of the circulatory system (I9_)	0.794705	0.00296453	0.114848	0.114919	0.114837	47485	295014
M13_LATERALEPICOND	Lateral epicondylitis	Diseases of the musculoskeletal system and connective tissue (M13_)	0.794893	0.00953772	0.114894	0.11527	0.114888	3765	253122
F5_ANOREX	Anorexia (incl.atypical)	Mental and behavioural disorders (F5_)	0.795144	0.0141937	0.114848	0.115543	0.114845	1685	333532
M13_DERMATOPOLYNAS	Dermatopolymyositis, unspecified	Diseases of the musculoskeletal system and connective tissue (M13_)	0.795264	0.0499019	0.114601	0.122137	0.114598	131	332115
I9_VASCINT	Vascular diseases of the intestine	Diseases of the circulatory system (I9_)	0.796113	0.0198149	0.114806	0.116404	0.114802	850	317899
G6_CAUDA	Cauda equina syndrome	Diseases of the nervous system (G6_)	0.797144	0.0350606	0.114856	0.117978	0.114854	267	339360
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	Certain infectious and parasitic diseases (AB1_)	0.797591	-0.00588663	0.114848	0.115523	0.114829	9711	332788
I9_CONDUCTIO	Conduction disorders	Diseases of the circulatory system (I9_)	0.798242	-0.00637781	0.115015	0.114902	0.115019	8709	237263
ULCERPROCT	Ulcerative proctitis	Gastrointestinal endpoints	0.79835	-0.0145913	0.114811	0.113077	0.114819	1530	327263
L12_LOCALSCLERODERMA	Localized scleroderma [morphea]	Diseases of the skin and subcutaneous tissue (L12_)	0.798727	0.0325779	0.114767	0.117261	0.114764	305	321903
I9_AF_REIMB	Atrial fibrillation and flutter with reimbursement	Diseases of the circulatory system (I9_)	0.798966	-0.00537675	0.114491	0.11391	0.11456	19945	168000
M13_MYOSITIS	Myositis	Diseases of the musculoskeletal system and connective tissue (M13_)	0.799009	0.0229289	0.114894	0.117211	0.114888	612	253122
D3_HAEMOLYTICANAEMIA	Haemolytic anaemias	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.799695	-0.0205147	0.114848	0.11383	0.114851	752	341747
O15_PRETERM	Preterm labour and delivery	Pregnancy, childbirth and the puerperium (O15_)	0.799698	-0.00663574	0.114732	0.113328	0.114805	7678	148153
L12_NAILNAS	Other and unspecified nail disorders	Diseases of the skin and subcutaneous tissue (L12_)	0.799776	0.0290188	0.114744	0.117399	0.114741	379	328747
K11_OTHANRECT	Other diseases of anus and rectum	Diseases of the digestive system (K11_)	0.801121	-0.00616249	0.114745	0.114163	0.114763	8644	276683
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	Certain infectious and parasitic diseases (AB1_)	0.801567	0.0138944	0.114843	0.117799	0.114829	1613	332788
D3_COAGOTHER	Other coagulation defects	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.80192	-0.0136561	0.114848	0.113716	0.114853	1680	337408
H7_PARASTRANAS	Other or unspecified paralytic strabismus	Diseases of the eye and adnexa (H7_)	0.802632	-0.044824	0.11491	0.10828	0.114913	157	328688
H7_OTHRETARTOCC	Other retinal artery occlusion	Diseases of the eye and adnexa (H7_)	0.804231	-0.0245752	0.114571	0.112079	0.114575	505	314042
E4_ADRENAS	Disorders of adrenal gland, other and/or unspecified	Endocrine, nutritional and metabolic diseases (E4_)	0.804504	0.0518087	0.114903	0.119469	0.114901	113	329091
DERMATOPOLY_FG	Dermatopolymyositis (FG)	Rheuma endpoints	0.804929	0.0288087	0.114078	0.118457	0.114072	363	261098
I9_OTHILLHEART	Other or ill-defined heart diseases	Diseases of the circulatory system (I9_)	0.805071	0.0148785	0.115025	0.115954	0.115019	1384	237263
F5_PERVASIVE	Pervasive developmental disorders excl. Autism + Asperger	Mental and behavioural disorders (F5_)	0.805352	0.0340741	0.114862	0.119318	0.114858	264	339113
F5_PARAPER	Paranoid personality disorder	Mental and behavioural disorders (F5_)	0.806178	0.0245628	0.1149	0.112999	0.114903	510	332850
CD2_EYE_NOS_EXALLC	Benign neoplasm: Eye, unspecified	Neoplasms from hospital discharges (CD2_)	0.80641	0.0546527	0.115569	0.120915	0.115567	99	271400
Q17_CONGEN_MALFO_ANTER_SEGMENT_EYE	Congenital malformations of anterior segment of eye	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.806489	-0.0386003	0.114842	0.110553	0.114845	199	340772
K11_ENERCOLNONINF	Noninfective enteritis and colitis	Diseases of the digestive system (K11_)	0.80742	0.00449414	0.114848	0.115488	0.114819	15236	327263
CD2_BENIGN_MENINGES_NOS	Beningn neoplasm: Meninges, unspecified	Neoplasms from hospital discharges (CD2_)	0.80843	-0.0283328	0.114848	0.112091	0.114851	361	342138
M13_RUPTUREMUSC	Other rupture of muscle	Diseases of the musculoskeletal system and connective tissue (M13_)	0.808941	0.0485928	0.114891	0.120411	0.114888	122	253122
H7_STRABNAS	Other specified and unspecified strabismus	Diseases of the eye and adnexa (H7_)	0.810039	-0.0343167	0.114911	0.112155	0.114913	241	328688
I9_ARTOTH	Other diseases of arteries and capillaries	Diseases of the circulatory system (I9_)	0.810317	0.0109298	0.114816	0.116718	0.114802	2393	317899
CD2_BENIGN_RECTUM_ANAL_CANAL_ICD9	Benign neoplasm: Rectum/anal canal icd-9	Neoplasms from hospital discharges (CD2_)	0.811314	0.0326396	0.114848	0.118362	0.114846	266	342233
N14_ULCERVAGVUL	Ulcer of vagina/vulva	Diseases of the genitourinary system (N14_)	0.812201	-0.0246709	0.114453	0.112254	0.114459	461	171306
CD2_BENIGN_CONNSOFT_TRUNK	Benign neoplasm: Connective and other soft tissue of trunk, unspecified	Neoplasms from hospital discharges (CD2_)	0.812575	0.0423651	0.114848	0.122517	0.114845	151	342348
G6_HERIPOTHUN	Other and unspecified neuropathies	Diseases of the nervous system (G6_)	0.81259	-0.0527243	0.114804	0.112245	0.114805	98	336784
KRA_PSY_ANXIETY_EXMORE	Anxiety disorders	Psychiatric endpoints from Katri Räikkönen	0.813732	-0.00316547	0.115036	0.114259	0.115144	35385	254976
VWXY20_INTENTI_SELF_H_HANGI_STRANGU_SUFFO	Intentional self-harm by hanging, strangulation and suffocation	External causes of morbidity and mortality (VWXY20_)	0.81444	0.0511161	0.114848	0.11798	0.114847	106	342393
K11_MAXIL_MOLAR_FAILED_ERUPT_OBSTRUCTION_TOOTH	Maxillary molar that has failed to erupt because of obstruction by another tooth	Diseases of the digestive system (K11_)	0.814537	-0.0156861	0.114848	0.114165	0.114851	1120	341379
L12_NAIL_DYSTROPHY	Nail dystrophy	Diseases of the skin and subcutaneous tissue (L12_)	0.814861	-0.0431494	0.114739	0.11107	0.114741	144	328747
G6_EPIPAROX	Episodal and paroxysmal disorders	Diseases of the nervous system (G6_)	0.815115	0.00214251	0.114848	0.114408	0.114978	77837	264662
R18_RETEN_URINE	Retention of urine	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R18_)	0.816422	0.0053244	0.114916	0.115729	0.114889	10168	312509
L12_PEMPHIGOID_NAS	Other and unspecified pemphigoid	Diseases of the skin and subcutaneous tissue (L12_)	0.816502	0.0421921	0.114823	0.118327	0.114821	150	341188
GE_MODE	Generalized epilepsy, mode (most common among epilepsy diagnosis)	Diseases of the nervous system (G6_)	0.817211	-0.0115754	0.114751	0.113425	0.114759	1988	332145
N14_FEMPELINFINOTH	Female pelvic inflammatory disorders in diseases classified elsewhere	Diseases of the genitourinary system (N14_)	0.817243	0.0548356	0.114462	0.12069	0.114459	87	171306
M13_SCIATICA	Sciatica+with lumbago	Diseases of the musculoskeletal system and connective tissue (M13_)	0.817661	-0.00423513	0.114942	0.113582	0.115029	15980	248831
H7_VISIMPBILATERAL	Blindness or visual impairment, binocular	Diseases of the eye and adnexa (H7_)	0.8178	0.0492578	0.114891	0.121495	0.114889	107	327640
H8_SUP_ACUTE	Acute suppurative otitis media	Diseases of the ear and mastoid process (H8_)	0.817903	-0.00565721	0.114789	0.11554	0.114768	8824	320335
I9_AF	Atrial fibrillation and flutter	Diseases of the circulatory system (I9_)	0.817909	-0.0037957	0.114462	0.114059	0.11456	40594	168000
H7_BINOCUMOVOTH	Other disorders of binocular movement	Diseases of the eye and adnexa (H7_)	0.81892	0.0226282	0.114911	0.113962	0.114913	522	328688
G6_NARCOCATA	Narcolepsy and cataplexy	Diseases of the nervous system (G6_)	0.819213	-0.040315	0.114976	0.111465	0.114978	157	264662
H7_MYOPIA	Myopia	Diseases of the eye and adnexa (H7_)	0.81938	0.00938876	0.114909	0.114554	0.114913	2993	328688
D3_SPLEENNAS	Other and unspecified diseases of spleen	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.82037	0.055188	0.114809	0.119514	0.114808	84	336361
K11_ATTRITION	Excessive attrition of teeth	Diseases of the digestive system (K11_)	0.820714	-0.0188047	0.114286	0.111792	0.114293	729	242518
KRA_PSY_CHILDEMOT_EXMORE	Emotional disorders starting during childhood or adolecense	Psychiatric endpoints from Katri Räikkönen	0.8209	0.0157012	0.11517	0.120273	0.115144	1298	254976
CD2_BENIGN_MELANOCYTIC_LOWERLIMB	Melanocytic naevi of lower limb, including hip	Neoplasms from hospital discharges (CD2_)	0.821287	-0.0163791	0.114848	0.113903	0.114851	937	341562
N14_ACUTERENFAIL	Acute renal failure	Diseases of the genitourinary system (N14_)	0.821288	0.00715564	0.114735	0.115651	0.114721	5057	330300
G6_SLEEPDISOTH	Other sleep disorders	Diseases of the nervous system (G6_)	0.821463	-0.00957147	0.114945	0.111843	0.114978	2820	264662
L12_LYMPHADENITIS	Acute lymphadenitis	Diseases of the skin and subcutaneous tissue (L12_)	0.821641	-0.0125076	0.114753	0.113809	0.114758	1615	324010
G6_TETRAPLE	Tetraplegia	Diseases of the nervous system (G6_)	0.82234	0.0385491	0.114857	0.121951	0.114854	164	339360
N14_BARTHOCYS	Cyst of Bartholin Gland	Diseases of the genitourinary system (N14_)	0.822818	-0.0162058	0.114454	0.11346	0.114459	945	171306
G6_ALS	Motor neuron disease	Diseases of the nervous system (G6_)	0.823098	0.0243358	0.114993	0.117056	0.114987	431	159840
J10_BRONCHIOLITIS	Acute bronchiolitis	Diseases of the respiratory system (J10_)	0.823142	0.0121081	0.11476	0.11974	0.114733	1754	323785
M13_POLYARTHRITIS	Polyarthritis, unspecified	Diseases of the musculoskeletal system and connective tissue (M13_)	0.823546	0.0165136	0.114655	0.116748	0.114646	907	221323
O15_PREG_ABORT	Pregnancy with abortive outcome	Pregnancy, childbirth and the puerperium (O15_)	0.824266	0.00250659	0.114492	0.114735	0.114394	54917	135962
J10_SINUSITIS	Acute sinusitis	Diseases of the respiratory system (J10_)	0.824353	-0.00378764	0.114655	0.114115	0.11469	18317	280956
H7_OPTNEUROTH	Other disorders of optic [2nd] nerve and visual pathways	Diseases of the eye and adnexa (H7_)	0.824682	0.0132698	0.114807	0.116185	0.114801	1384	340155
ST19_FRACT_SHOUL_UPPER_ARM	Fracture of shoulder and upper arm	Injury, poisoning and certain other consequences of external causes (ST19_)	0.824792	-0.004941	0.115039	0.114633	0.115052	10273	314458
M13_DORSOPATHY	Dorsopathies	Diseases of the musculoskeletal system and connective tissue (M13_)	0.825028	-0.00192033	0.114848	0.114369	0.115029	93668	248831
E4_OVARDYS	Ovarian dysfunction	Endocrine, nutritional and metabolic diseases (E4_)	0.825427	-0.0119661	0.114499	0.112464	0.114519	1721	181796
J10_PYOTHORAX	Pyothorax	Diseases of the respiratory system (J10_)	0.826771	-0.0156458	0.114848	0.113984	0.114851	969	341209
H7_KERATITISOTH	Other keratitis	Diseases of the eye and adnexa (H7_)	0.82699	0.00927359	0.114649	0.115107	0.114645	2791	325475
M13_LIMBPAIN	Pain in limb	Diseases of the musculoskeletal system and connective tissue (M13_)	0.827304	0.00320399	0.114904	0.115064	0.114888	25682	253122
G6_CPETAL	Cerebral palsy and other paralytic syndromes	Diseases of the nervous system (G6_)	0.828657	-0.00861982	0.114848	0.114275	0.114854	3139	339360
G6_HCINOTH	Hydrocephalus in other diseases	Diseases of the nervous system (G6_)	0.829122	0.0425577	0.114843	0.118814	0.114842	126	341117
H8_OTIMEDNAS	Otitis media, unspecified	Diseases of the ear and mastoid process (H8_)	0.830119	0.00853921	0.114799	0.117851	0.114768	3180	320335
E4_HYPEROSMHNAT	Hyperosmolality and hypernatraemia	Endocrine, nutritional and metabolic diseases (E4_)	0.830973	0.0289204	0.114855	0.116692	0.114853	271	296380
L12_SCARCONDITIONS	Scar conditions and fibrosis of skin	Diseases of the skin and subcutaneous tissue (L12_)	0.831085	-0.0159452	0.11476	0.113026	0.114764	891	321903
Q17_PHAKOMATOSES_NOT_ELSEW_CLASSIFIED	Phakomatoses, not elsewhere classified	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.831942	0.0294234	0.114815	0.117404	0.114813	258	340224
K11_DULC	Duodenal ulcer	Diseases of the digestive system (K11_)	0.832196	-0.00850382	0.114973	0.113196	0.114992	3164	292256
J10_PLEUROTH	Other pleural conditions	Diseases of the respiratory system (J10_)	0.832625	-0.00920853	0.114881	0.113954	0.114889	2648	328786
J10_SIMPLBRONCH	Simple and mucopurulent chronic bronchitis	Diseases of the respiratory system (J10_)	0.832731	-0.0136824	0.115518	0.114393	0.115523	1180	283589
G6_ULLNLE	Lesion of ulnar nerve	Diseases of the nervous system (G6_)	0.832822	0.00784729	0.114478	0.114523	0.114478	3666	301193
CD2_BENIGN_BRAIN_SUPRATENT	Benign neoplasm: Brain, supratentorial	Neoplasms from hospital discharges (CD2_)	0.832859	-0.0245707	0.114848	0.113455	0.11485	362	342137
C3_PANCREAS_EXALLC	Malignant neoplasm of pancreas	Neoplasms, from cancer register (ICD-O-3)	0.833035	0.0133163	0.115557	0.117082	0.11555	1249	259583
K11_ACUTGASTR	Acute gastritis	Diseases of the digestive system (K11_)	0.833148	0.0102384	0.114998	0.115894	0.114992	2120	292256
G6_ENCEPATH	Encephalopathy	Diseases of the nervous system (G6_)	0.83322	0.0312157	0.114717	0.117778	0.114715	225	318912
E4_MALNUTRITION	Malnutrition	Endocrine, nutritional and metabolic diseases (E4_)	0.83419	0.0233899	0.114848	0.116275	0.114847	400	342099
L12_FOREIGNBODYGRANULOMA	Foreign body granuloma of skin and subcutaneous tissue	Diseases of the skin and subcutaneous tissue (L12_)	0.834531	0.0521815	0.114765	0.118824	0.114764	80	321903
I9_SEQULAE	Sequelae of cerebrovascular disease	Diseases of the circulatory system (I9_)	0.834737	0.0049283	0.114667	0.11432	0.114678	9672	312768
K11_INTUSS	Intussusception	Diseases of the digestive system (K11_)	0.834978	-0.0212555	0.114757	0.110996	0.114763	482	276683
C3_BILIARY_TRACT_EXALLC	Malignant neoplasm of other and unspecified parts of biliary tract	Neoplasms, from cancer register (ICD-O-3)	0.83525	-0.0307021	0.115548	0.113466	0.11555	227	259583
K11_OESITIS	Oesophagitis	Diseases of the digestive system (K11_)	0.836141	-0.0126914	0.114988	0.114072	0.114992	1318	292256
CD2_BENIGN_LYMPHANGIOMA	Lymphangioma, anys site	Neoplasms from hospital discharges (CD2_)	0.836213	0.0331665	0.114848	0.119794	0.114846	190	342309
E4_OBESITY	Obesity	Endocrine, nutritional and metabolic diseases (E4_)	0.836564	-0.00351511	0.114852	0.11378	0.114913	18330	324070
RX_STATIN	Statin medication	Diseases of the circulatory system (I9_)	0.839372	0.00192572	0.114848	0.11468	0.114927	109318	233181
Q17_OTHER_CONGEN_MALFO_UPPER_ALIME_TRACT	Other congenital malformations of upper alimentary tract	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.839925	0.0369414	0.114854	0.115132	0.114854	152	341501
M13_MUSCLE	Disorders of muscles	Diseases of the musculoskeletal system and connective tissue (M13_)	0.840031	0.00882816	0.114896	0.115698	0.114888	2622	253122
SLE_OTH	Other forms of systemic lupus erythematosus	Rheuma endpoints	0.840583	0.0307092	0.114804	0.118483	0.114802	211	341582
F5_SPEECH	Specific development disorders of speech and language	Mental and behavioural disorders (F5_)	0.840758	-0.0117908	0.114864	0.116144	0.114858	1449	339113
H8_EXT_INFNAS	Other infective otitis externa	Diseases of the ear and mastoid process (H8_)	0.841332	-0.0118172	0.114726	0.115566	0.114722	1407	333917
I9_DISCER	Dissection of cerebral arteries, nonruptured	Diseases of the circulatory system (I9_)	0.842232	0.0352437	0.11468	0.118416	0.114678	158	312768
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode)	Asthma and related endpoints	0.842437	-0.011245	0.115052	0.113587	0.115064	1567	187112
F5_ALLANXIOUS	All anxiety disorders	Mental and behavioural disorders (F5_)	0.843196	-0.00321763	0.114866	0.114301	0.114906	21519	307558
H7_EPISCLERITIS	Episcleritis	Diseases of the eye and adnexa (H7_)	0.843565	-0.0125336	0.114638	0.11299	0.114645	1239	325475
H7_CORNEAPIGMENT	Corneal pigmentations and deposits	Diseases of the eye and adnexa (H7_)	0.843607	0.0456008	0.114645	0.115789	0.114645	95	325475
K11_MIH_INCLAVO	Molar incisor enamel hypoplasia	Diseases of the digestive system (K11_)	0.843644	-0.01952	0.114848	0.117173	0.114845	513	341986
AB1_VIRAN_CNS_INFECTIONS_NOS	Viral infections of central nervous system, not elsewhere classified/unspecified	Certain infectious and parasitic diseases (AB1_)	0.844081	0.0262818	0.114833	0.118159	0.11483	276	340582
I9_NONISCHCARDMYOP_STRICT	Nonischemic cardiomyopathy	Diseases of the circulatory system (I9_)	0.844286	0.0113304	0.114968	0.115971	0.114962	1500	283767
H8_MIDDLEMASTOID	Diseases of middle ear and mastoid	Diseases of the ear and mastoid process (H8_)	0.844289	0.00310015	0.114848	0.116008	0.114768	22164	320335
N14_HYPERTROPHYBREAST_BOTH	Hypertrophy of breast in women and men	Diseases of the genitourinary system (N14_)	0.844445	0.0060162	0.114919	0.114919	0.114919	5407	326828
H8_NOISEINNER	Noise effects on inner ear	Diseases of the ear and mastoid process (H8_)	0.844607	0.0143741	0.114923	0.116914	0.114918	925	326479
D3_THROMBOCYTOPENIANAS	Thrombocytopenia, unspecified	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.844729	-0.0107293	0.114849	0.113909	0.114853	1654	337408
N14_MESNRUIRREG	Excessive, frequent and irregular menstruation	Diseases of the genitourinary system (N14_)	0.845161	0.00283308	0.115049	0.115654	0.114854	32317	100663
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease	Certain infectious and parasitic diseases (AB1_)	0.845306	0.0283784	0.114854	0.121268	0.11485	228	342020
M13_FIBROMYALGIA	Fibromyalgia	Diseases of the musculoskeletal system and connective tissue (M13_)	0.847752	-0.00978018	0.114876	0.11325	0.114888	1941	253122
N14_PROSTATITIS	Inflammatory diseases of prostate (prostatitis)	Diseases of the genitourinary system (N14_)	0.847785	0.00760807	0.11537	0.115718	0.115359	3299	110070
AB1_MUMPS	Mumps	Certain infectious and parasitic diseases (AB1_)	0.848532	0.0163234	0.114686	0.116309	0.114683	680	333715
F5_PHYSBEHOTH	Unspecified behavioural syndromes associated with physiological disturbances and physical factors +Physiological and behavioural factors associated with disorders of diseases classified elsewhere	Mental and behavioural disorders (F5_)	0.848631	-0.0205609	0.114845	0.114929	0.114845	422	333532
L12_HAIRLOSSNONSCAR	Other nonscarring hair loss	Diseases of the skin and subcutaneous tissue (L12_)	0.849196	-0.033124	0.114739	0.111007	0.114741	163	328747
CD2_BENIGN_LIVE_BILE	Benign neoplasm: Liver/bile ducts	Neoplasms from hospital discharges (CD2_)	0.850449	-0.0192401	0.114848	0.112654	0.114852	476	342023
M13_OSTEOCHONDROPATHY	Other osteochondropathies	Diseases of the musculoskeletal system and connective tissue (M13_)	0.850451	-0.00977596	0.114888	0.113967	0.114893	1850	336699
K11_ACUTPANC	Acute pancreatitis	Diseases of the digestive system (K11_)	0.851289	0.00570125	0.11451	0.11467	0.114507	5509	301383
CD2_UVEAMELANOMA_EXALLC	Melanoma of uvea	Neoplasms from hospital discharges (CD2_)	0.851391	-0.0277169	0.115573	0.11435	0.115574	223	271397
M13_ENTESOPATHYLOW	Enthesopathies of lower limb, excluding foot	Diseases of the musculoskeletal system and connective tissue (M13_)	0.851538	-0.00535746	0.115028	0.114967	0.115029	6183	248831
Q17_SEPTA_DEFEC	Septal defects	Congenital malformations, deformations and chromosomal abnormalities (Q17)	0.853342	-0.0103588	0.114848	0.114831	0.114849	1577	340922
K11_CROSSBITE	Crossbite	Diseases of the digestive system (K11_)	0.853379	-0.0109072	0.114848	0.115989	0.114844	1427	341072
M13_PATELLARTEND	Patellar tendinitis	Diseases of the musculoskeletal system and connective tissue (M13_)	0.853757	-0.0209904	0.115027	0.113577	0.115029	383	248831
D3_PURPURA_AND3_OTHER_HAEMORRHAGIC	Purpura and other haemorrhagic conditions	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	0.854418	-0.00700018	0.114847	0.114252	0.114853	3431	337408
K11_HAEMORR	Haemmorrhoids and perianal venous thrombosis	Diseases of the digestive system (K11_)	0.854966	0.004977	0.114745	0.114021	0.114763	7114	276683
H7_VERTISTRAB	Vertical strabismus	Diseases of the eye and adnexa (H7_)	0.855084	-0.0147253	0.114909	0.113361	0.114913	763	328688
E4_NUTRI_DEF_NAS	Other specified/unspecified nutritional deficiencies	Endocrine, nutritional and metabolic diseases (E4_)	0.855557	-0.0299202	0.114854	0.111808	0.114856	183	323324
M13_LIMBDEFORM	Other specified acquired deformities of limbs	Diseases of the musculoskeletal system and connective tissue (M13_)	0.855885	-0.0379812	0.114643	0.109088	0.114646	115	221323
CHRONNAS	Crohn's disease NAS	Gastrointestinal endpoints	0.855931	0.00960845	0.114826	0.116165	0.114819	1773	327263
CD2_BENIGN_VAGINA	Benign neoplasm: Vulva	Neoplasms from hospital discharges (CD2_)	0.856178	-0.0182235	0.114492	0.113353	0.114495	489	190390
HYPOTE_DRUGS	Hypotension due to drugs	Diseases of the circulatory system (I9_)	0.856503	0.0234442	0.114848	0.11665	0.114847	297	342202
F5_ANXIETY	Other anxiety disorders	Mental and behavioural disorders (F5_)	0.856906	-0.0034893	0.114879	0.114324	0.114906	14707	307558
